team,position,full_name,gsis_id,week,touches,snap_share,rush_share,target_share,weighted_opp_share,total_touchdowns,delta_touches,touches_3wk_avg,touches_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,rush_ypc,rush_yoe_per_att,rush_yoe_per_game,stacked_box_rate,catch_rate,rec_yards_per_target,avg_yac_above_expectation,team_implied_points,is_favored,abs_spread,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed,years_exp_filled,is_rookie,is_undrafted,draft_number_filled
LV,RB,Raheem Mostert,00-0031687,6,5.0,0.21,0.15625,0.0,5.0,0.0,-2.0,5.666666666666667,0.0,0.27666666666666667,0.0,3.366666666666667,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,13.25,0,3.5,4.49,21.77,3.46,1.080.15,18.08,10,0,1,275.0
LV,RB,Raheem Mostert,00-0031687,9,1.0,0.09,0.0,0.02564102564102564,3.0,0.0,0.0,2.3333333333333335,-1.4666666666666663,0.18666666666666665,-0.04933333333333334,1.0666666666666667,-1.6733333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,30.75,1,2.5,3.74,17.31,4.62,0.380.23,12.38,10,0,1,275.0
LV,RB,Raheem Mostert,00-0031687,10,2.0,0.13,0.04,0.037037037037037035,4.0,0.0,1.0,1.3333333333333333,-2.166666666666667,0.16,-0.05833333333333335,2.033333333333333,-0.6666666666666674,0.0,0.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,13.25,1,9.5,4.12,23.85,4.54,1.080.08,18.08,10,0,1,275.0
LV,RB,Raheem Mostert,00-0031687,12,4.0,0.19,0.047619047619047616,0.06818181818181818,10.0,0.0,0.0,3.3333333333333335,-0.0952380952380949,0.19000000000000003,-0.03857142857142856,3.6,1.2857142857142856,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,15.5,0,3.0,3.92,22.69,4.31,0.540.15,15.15,10,0,1,275.0
LV,RB,Raheem Mostert,00-0031687,13,1.0,0.04,0.05555555555555555,0.0,1.0,0.0,-3.0,3.0,0.4285714285714284,0.16,-0.0071428571428571175,2.966666666666667,0.8809523809523809,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,1,10.0,4.12,23.85,4.54,1.080.08,18.08,10,0,1,275.0
LV,RB,Raheem Mostert,00-0031687,5,7.0,0.47,0.28,0.0,7.0,0.0,2.0,6.0,0.0,0.31,0.0,5.25,0.0,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,26.5,1,7.0,4.12,23.85,4.54,1.080.08,18.08,10,0,1,275.0
IND,RB,Ameer Abdullah,00-0032104,10,1.0,0.06,0.0,0.038461538461538464,3.0,0.0,-1.0,2.0,-0.16666666666666652,0.10333333333333333,0.016666666666666663,1.7,-1.3,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,1.0,8.0,0.0,24.75,0,6.5,4.44,22.38,4.54,0.620.31,17.38,10,0,0,54.0
IND,RB,Ameer Abdullah,00-0032104,7,3.0,0.08,0.08695652173913043,0.029411764705882353,5.0,0.0,1.0,2.3333333333333335,0.0,0.07,0.0,4.3,0.0,0.3333333333333333,0.0,9.5,0.0,0.0,0.0,1.0,8.0,0.0,32.25,1,2.5,3.87,21.31,4.23,0.920.08,15.54,10,0,0,54.0
IND,RB,Ameer Abdullah,00-0032104,12,1.0,0.08,0.0,0.03225806451612903,3.0,0.0,0.0,1.3333333333333333,-0.6666666666666667,0.06666666666666667,-0.01904761904761905,1.1,-1.4714285714285715,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,1,3.5,3.87,21.31,4.23,0.920.08,15.54,10,0,0,54.0
IND,RB,Ameer Abdullah,00-0032104,9,2.0,0.06,0.05263157894736842,0.02,4.0,0.0,-1.0,2.6666666666666665,0.2666666666666666,0.11,0.018000000000000002,2.3333333333333335,-0.9066666666666663,0.0,-0.2,3.0,0.0,0.0,0.0,1.0,2.0,0.0,21.75,0,3.5,3.87,21.31,4.23,0.920.08,15.54,10,0,0,54.0
IND,RB,Ameer Abdullah,00-0032104,13,0.0,0.02,0.0,0.0,0.0,0.0,-1.0,0.6666666666666666,-1.0476190476190474,0.05333333333333334,-0.023809523809523815,0.6,-1.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0,3.0,3.79,19.46,4.00,0.770.08,14.08,10,0,0,54.0
IND,RB,Ameer Abdullah,00-0032104,6,2.0,0.05,0.037037037037037035,0.03333333333333333,4.0,0.0,0.0,2.0,0.0,0.065,0.0,4.6,0.0,0.5,0.0,7.0,0.0,0.0,0.0,1.0,9.0,0.0,24.75,0,8.5,4.79,22.54,4.08,1.080.31,20.00,10,0,0,54.0
IND,RB,Ameer Abdullah,00-0032104,8,3.0,0.19,0.1111111111111111,0.03225806451612903,5.0,0.0,0.0,2.6666666666666665,0.16666666666666652,0.10666666666666667,0.006666666666666668,2.6999999999999997,-0.9750000000000001,0.0,-0.25,2.5,0.0,0.0,0.0,1.0,3.0,0.0,18.25,0,15.5,4.49,21.77,3.46,1.080.15,18.08,10,0,0,54.0
IND,RB,Ameer Abdullah,00-0032104,5,2.0,0.08,0.08,0.0,2.0,1.0,0.0,2.0,0.0,0.08,0.0,6.6,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0,7.0,4.12,23.85,4.54,1.080.08,18.08,10,0,0,54.0
BAL,RB,Derrick Henry,00-0032764,9,20.0,0.64,0.6129032258064516,0.043478260869565216,22.0,0.0,-2.0,22.666666666666668,5.666666666666668,0.57,0.021428571428571352,15.4,4.5,0.6666666666666666,0.09523809523809523,6.2631578947368425,1.8920049679430349,35.94809439091766,57.89473684210527,1.0,2.0,0.0,13.25,0,7.5,4.30,20.62,5.15,0.770.23,17.69,9,0,0,45.0
