team,position,full_name,gsis_id,week,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,delta_targets,rush_attempts,rush_ypa,rush_share,targets_3wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,percent_share_of_intended_air_yards,avg_separation,avg_cushion,avg_yac_above_expectation,racr,team_implied_points,is_favored,abs_spread,def_wr_ftps,def_wr_targets,def_wr_yards_per_target,years_exp_filled,is_rookie,is_second_year,is_undrafted,draft_number_filled
LAC,WR,Keenan Allen,00-0030279,11,6.0,49.0,0.75,0.23076923076923078,26.016823354774864,0.0,1.0,0.0,0.0,0.0,5.333333333333333,-1.9523809523809526,49.333333333333336,-15.952380952380956,0.5433333333333333,0.020476190476190426,6.4333333333333345,-4.5809523809523816,0.0,-0.14285714285714285,0.0,8.833333333333334,0.0,0.6666666666666666,1.55,26.016823354774864,3.3568463608262404,9.948333333333332,-0.4506485242944178,1.0816326530612246,19.0,0,3.0,13.77,17.54,6.815279361459522,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,14,0.0,0.0,0.57,0.0,,0.0,-5.0,0.0,0.0,0.0,3.6666666666666665,-2.047619047619048,34.0,-21.142857142857146,0.64,0.11285714285714288,5.4333333333333345,-4.08095238095238,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,,0.0,21.25,1,1.5,16.77,20.54,7.16066212268744,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,7,14.0,129.0,0.64,0.2545454545454545,26.53901328509948,1.0,7.0,0.0,0.0,0.0,10.0,0.7142857142857135,84.33333333333333,8.047619047619037,0.5933333333333334,-0.03238095238095229,16.466666666666665,0.10952380952380736,0.3333333333333333,-0.23809523809523808,0.0,8.5,0.09090909090909091,0.7857142857142857,2.2785714285714285,26.53901328509948,2.4764468971568028,6.042142857142856,0.6877279723050185,0.9224806201550387,29.75,0,2.5,22.15,21.46,7.792637465051257,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,10,5.0,27.0,0.51,0.15151515151515152,15.3554796647004,0.0,0.0,0.0,0.0,0.0,5.0,-2.428571428571429,51.666666666666664,-10.904761904761905,0.37666666666666665,-0.15047619047619049,6.133333333333334,-4.795238095238095,0.0,-0.14285714285714285,0.0,3.8,0.0,0.4,0.78,15.3554796647004,2.0194118784889223,4.640000000000001,1.8686528810532401,0.7037037037037037,16.0,0,3.0,21.54,21.92,7.748631386861313,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,5,9.0,58.0,0.58,0.2727272727272727,44.4475138121547,0.0,2.0,0.0,0.0,0.0,9.0,0.1999999999999993,65.33333333333333,-2.4666666666666686,0.67,0.03400000000000003,13.0,-2.1800000000000015,0.3333333333333333,-0.26666666666666666,0.0,6.444444444444445,0.0,0.5555555555555556,1.2000000000000002,44.4475138121547,3.592061374942525,6.508750000000001,1.4957607054563882,1.0,17.25,0,2.5,22.31,17.23,9.460243760882182,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,9,5.0,72.0,0.37,0.1724137931034483,25.196850393700792,0.0,0.0,0.0,0.0,0.0,8.0,-0.2857142857142865,85.66666666666667,11.523809523809533,0.42,-0.12714285714285717,15.466666666666667,2.30952380952381,0.3333333333333333,0.047619047619047616,0.0,8.2,0.0,0.4,1.2200000000000002,25.196850393700792,2.4905994274352232,7.514,3.9712079928626522,0.5694444444444444,18.5,0,10.0,13.77,17.54,6.815279361459522,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,4,7.0,30.0,0.78,0.17073170731707318,13.300372831901445,0.0,-4.0,0.0,0.0,0.0,8.333333333333334,-0.4166666666666661,64.0,-6.25,0.66,0.010000000000000009,15.100000000000001,-1.1749999999999972,0.6666666666666666,-0.08333333333333337,0.0,5.285714285714286,0.0,0.7142857142857143,1.2428571428571427,13.300372831901445,1.532598926957266,5.740000000000001,-0.36638467003091435,1.2333333333333334,16.5,0,6.0,13.77,17.54,6.815279361459522,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,6,7.0,66.0,0.56,0.18421052631578946,31.94790184921764,0.0,-2.0,0.0,0.0,0.0,7.666666666666667,-0.833333333333333,51.333333333333336,-16.166666666666664,0.64,0.016666666666666607,8.733333333333333,-5.033333333333335,0.0,-0.5,0.0,3.857142857142857,0.0,0.5714285714285714,0.9571428571428572,31.94790184921764,1.9289899592492443,4.515714285714286,-0.19392682646419868,0.4090909090909091,26.25,0,3.5,13.77,17.54,6.815279361459522,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,2,7.0,54.0,0.55,0.25925925925925924,27.243157477191595,1.0,-3.0,0.0,0.0,0.0,8.5,0.0,71.5,0.0,0.585,0.0,18.450000000000003,0.0,1.0,0.0,0.0,8.714285714285714,0.2,0.7142857142857143,2.442857142857143,27.243157477191595,3.5882471430657334,5.381666666666667,1.9060100389858983,1.1296296296296295,12.75,0,3.5,13.77,17.54,6.815279361459522,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,13,5.0,53.0,0.6,0.23809523809523808,27.31603486722077,0.0,-1.0,0.0,0.0,0.0,5.333333333333333,-1.3809523809523814,43.0,-21.57142857142857,0.62,0.0942857142857143,6.733333333333334,-3.7380952380952372,0.0,-0.14285714285714285,0.0,6.0,0.0,0.8,1.4,27.31603486722077,1.754899533774768,4.9319999999999995,-0.7793410457334433,0.5660377358490566,17.5,0,10.0,21.77,19.38,7.974200206398349,12,0,0,0,76.0
