team,position,full_name,gsis_id,week,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,delta_targets,rush_attempts,rush_ypa,rush_share,targets_3wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,avg_separation,avg_cushion,avg_yac_above_expectation,racr,team_implied_points,is_favored,abs_spread,def_te_ftps,def_te_targets,def_te_yards_per_target,years_exp_filled,is_rookie,is_second_year,is_undrafted,draft_number_filled
WAS,TE,Zach Ertz,00-0030061,10,5.0,87.0,0.81,0.22727272727272727,28.224831020988972,0.0,1.0,0.0,0.0,0.0,5.0,0.2857142857142856,51.666666666666664,7.38095238095238,0.6866666666666666,0.04809523809523808,7.866666666666668,-0.23333333333333162,0.0,-0.2857142857142857,0.0,10.8,0.0,0.8,1.8800000000000001,2.4568473528454824,3.5025,-1.7933363482652722,0.6206896551724138,37.25,1,8.5,7.31,6.92,7.348265895953758,12,0,0,0,35.0
WAS,TE,Zach Ertz,00-0030061,11,8.0,87.0,0.75,0.26666666666666666,39.54950727358049,0.0,3.0,0.0,0.0,0.0,5.666666666666667,0.3809523809523814,72.0,20.42857142857143,0.73,0.0714285714285714,8.733333333333336,0.047619047619049226,0.0,-0.2857142857142857,0.0,5.25,0.0,0.5,1.025,2.1339374938157274,5.1425,-2.7480264614941756,0.4827586206896552,15.75,1,2.5,10.77,6.85,8.96058394160584,12,0,0,0,35.0
WAS,TE,Zach Ertz,00-0030061,8,6.0,26.0,0.62,0.2,19.420680363758834,0.0,-1.0,0.0,0.0,0.0,6.333333333333333,1.333333333333333,45.333333333333336,8.333333333333336,0.63,-0.005714285714285783,11.533333333333333,2.404761904761905,0.6666666666666666,0.23809523809523808,0.0,2.6666666666666665,0.0,0.6666666666666666,0.9333333333333332,2.629972509868794,7.178,-0.679393372940293,0.6153846153846154,22.75,1,10.5,10.77,6.85,8.96058394160584,12,0,0,0,35.0
WAS,TE,Zach Ertz,00-0030061,7,7.0,78.0,0.67,0.21875,20.251970625884255,1.0,1.0,0.0,0.0,0.0,4.666666666666667,-0.1904761904761898,39.666666666666664,0.3809523809523796,0.6,-0.03857142857142859,9.666666666666666,-0.3190476190476197,0.6666666666666666,0.09523809523809523,0.0,5.285714285714286,0.3333333333333333,0.42857142857142855,1.8142857142857143,2.7886902050987326,6.335714285714286,2.0107389068773576,0.47435897435897434,33.75,1,1.5,10.77,6.85,8.96058394160584,12,0,0,0,35.0
WAS,TE,Zach Ertz,00-0030061,6,6.0,32.0,0.6,0.23076923076923078,20.51130882195305,1.0,5.0,0.0,0.0,0.0,3.6666666666666665,-0.8333333333333335,25.666666666666668,-7.166666666666668,0.58,-0.053333333333333344,6.8,-2.7333333333333334,0.3333333333333333,-0.16666666666666669,0.0,7.166666666666667,0.16666666666666666,1.0,2.716666666666667,2.1533382039691804,6.473999999999999,-0.4819369710507857,1.34375,21.75,0,5.5,7.31,7.38,7.588075880758808,12,0,0,0,35.0
WAS,TE,Zach Ertz,00-0030061,4,4.0,36.0,0.61,0.14814814814814814,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,38.0,-1.0,0.6766666666666666,0.009166666666666656,9.766666666666666,-0.4583333333333339,0.3333333333333333,-0.16666666666666669,0.0,5.25,0.0,0.5,1.025,0.0,0.0,0.0,0.5833333333333334,31.75,1,2.5,10.77,6.85,8.96058394160584,12,0,0,0,35.0
KC,TE,Travis Kelce,00-0030506,6,7.0,52.0,0.7,0.23333333333333334,35.74442435201929,0.0,-1.0,0.0,0.0,0.0,6.666666666666667,0.5,33.666666666666664,1.5,0.7200000000000001,-0.03166666666666651,14.233333333333334,2.216666666666667,0.3333333333333333,0.0,0.0,11.142857142857142,0.0,0.8571428571428571,1.9714285714285715,4.039181205700548,5.239999999999999,1.750579845117592,1.5,22.25,0,2.5,7.31,6.92,7.348265895953758,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,8,8.0,53.0,0.84,0.23529411764705882,25.64077432001961,1.0,5.0,0.0,0.0,0.0,6.0,-0.2857142857142856,42.333333333333336,7.476190476190482,0.7200000000000001,-0.01285714285714279,14.700000000000001,1.8857142857142861,0.3333333333333333,0.047619047619047616,0.0,12.375,0.16666666666666666,0.75,2.7375,3.3455838007033725,6.932857142857143,1.42209516122802,1.8679245283018868,12.25,0,10.5,10.77,6.85,8.96058394160584,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,13,6.0,57.0,0.91,0.17647058823529413,26.036019479922818,1.0,0.0,0.0,0.0,0.0,8.333333333333334,1.4761904761904772,64.66666666666667,11.23809523809524,0.86,0.05142857142857149,16.0,1.3285714285714256,0.6666666666666666,0.23809523809523808,0.3333333333333333,7.5,0.2,0.8333333333333334,2.5833333333333335,1.6966718455389282,5.9025,0.6946586975041571,0.7894736842105263,27.75,0,3.5,5.38,5.69,8.151142355008787,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,7,3.0,22.0,0.62,0.08571428571428572,0.0,0.0,-4.0,0.0,0.0,0.0,6.0,0.2857142857142856,35.666666666666664,4.952380952380949,0.7066666666666667,-0.02619047619047621,13.766666666666667,2.2666666666666675,0.3333333333333333,0.047619047619047616,0.0,18.0,0.0,1.0,2.8000000000000003,0.0,0.0,0.0,2.4545454545454546,8.75,0,13.5,4.38,5.15,7.27378640776699,12,0,0,0,63.0
