team_abbrev,season,def_pass_ypa_allowed,def_total_tds_allowed,def_pass_int_rate_forced,def_sack_rate,def_fantpt_allowed,def_rush_ypa_allowed
DAL,2025,8.05307855626327,2.7142857142857144,0.42857142857142855,2.0714285714285716,24.1,4.301369863013699
NYG,2025,7.190677966101695,2.0,0.35714285714285715,2.2142857142857144,20.4,4.636363636363637
CIN,2025,8.124716553287982,2.142857142857143,0.7857142857142857,1.7857142857142858,20.2,4.492307692307692
TB,2025,7.7306889352818375,2.142857142857143,0.8571428571428571,2.357142857142857,20.1,5.09375
WAS,2025,8.401847575057737,2.0714285714285716,0.5,2.2142857142857144,19.9,5.113207547169812
DET,2025,7.4838012958963285,2.142857142857143,0.8571428571428571,2.7857142857142856,19.5,3.2222222222222223
TEN,2025,8.099767981438514,2.0,0.42857142857142855,2.4285714285714284,19.4,4.285714285714286
PIT,2025,7.044401544401544,2.0,0.8571428571428571,2.857142857142857,18.8,4.142857142857143
NYJ,2025,7.197080291970803,1.9285714285714286,0.0,1.5714285714285714,18.6,4.725806451612903
MIA,2025,7.324519230769231,1.8571428571428572,0.5,2.4285714285714284,17.5,5.016949152542373
SF,2025,6.885416666666667,1.8571428571428572,0.35714285714285715,1.1428571428571428,17.3,3.7884615384615383
CHI,2025,7.453917050691245,2.142857142857143,1.5,2.0714285714285716,17.1,6.891304347826087
JAX,2025,6.316793893129771,1.9285714285714286,1.2857142857142858,2.0,17.1,4.851851851851852
LV,2025,7.269320843091335,1.8571428571428572,0.5714285714285714,1.8571428571428572,16.6,2.9722222222222223
ATL,2025,7.191489361702128,1.7857142857142858,0.7857142857142857,3.4285714285714284,16.6,4.935483870967742
NE,2025,6.832214765100671,1.7857142857142858,0.5714285714285714,2.0714285714285716,16.4,5.14
BAL,2025,6.744597249508841,1.5714285714285714,0.6428571428571429,1.5714285714285714,16.4,3.440677966101695
ARI,2025,7.251626898047722,1.7142857142857142,0.6428571428571429,1.7857142857142858,16.0,2.982456140350877
KC,2025,7.144230769230769,1.4285714285714286,0.5714285714285714,2.0714285714285716,15.4,3.782608695652174
IND,2025,7.059160305343512,1.2857142857142858,0.8571428571428571,2.5714285714285716,15.3,3.488888888888889
LA,2025,6.615537848605578,1.5714285714285714,0.9285714285714286,2.642857142857143,15.3,4.829787234042553
GB,2025,6.306695464362851,1.6428571428571428,0.5,2.357142857142857,15.1,3.8205128205128207
NO,2025,7.075520833333333,1.6428571428571428,0.5714285714285714,2.0714285714285716,14.9,4.08955223880597
PHI,2025,6.360691144708423,1.2142857142857142,0.7142857142857143,2.5,14.6,5.140625
CAR,2025,7.336426914153132,1.4285714285714286,0.8571428571428571,1.6428571428571428,14.5,2.981818181818182
DEN,2025,6.364562118126273,1.1428571428571428,0.6428571428571429,4.142857142857143,13.9,3.9074074074074074
