team,position,full_name,height,weight,gsis_id,years_exp,week,draft_number,avg_time_to_throw,avg_intended_air_yards,aggressiveness,avg_air_yards_to_sticks,completion_percentage_above_expectation,max_air_distance,efficiency,percent_attempts_gte_eight_defenders,rush_yards,rush_yards_over_expected_per_att,avg_cushion,avg_separation,percent_share_of_intended_air_yards,catch_percentage,avg_yac_above_expectation,pass_attempt,rec_attempt,rush_attempt,pass_air_yards,rec_air_yards,pass_completions,receptions,pass_yards_gained,rec_yards_gained,rush_yards_gained,pass_touchdown,rec_touchdown,rush_touchdown,pass_interception,rec_fumble_lost,rush_fumble_lost,pass_yards_gained_diff,rec_yards_gained_diff,rush_yards_gained_diff,pass_touchdown_diff,rec_touchdown_diff,rush_touchdown_diff,pass_attempt_team,rec_attempt_team,rush_attempt_team,opponent,offense_snaps,offense_pct,team_home,team_away,total,spread_line,roof,surface,temp,wind,touches,snap_share,rush_share,weighted_opp_share,total_touchdowns,fantasy_points,delta_touches,touches_3wk_avg,touches_7wk_avg,touches_trend_3v7,snap_share_3wk_avg,snap_share_7wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_7wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_7wk_avg,tds_trend_3v7,rush_ypc,rush_yoe_per_game,rush_yoe_per_att,stacked_box_rate,catch_rate,rec_yards_per_target,team_implied_points,is_favored,abs_spread,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed,years_exp_filled,is_rookie,draft_number_filled,is_undrafted
SF,RB,Kyle Juszczyk,74,235,00-0029892,12,10,130,,,,,,,,0,,0,,,,,0,0,2,0,0,-2,0,2,0,8,0,0,0,0,0,0,0,0,-1.26,0,0,-0.56,0,39,39,21,,,0,SF,LA,68,-5.5,outdoors,grass,77,3,2,0,0,6,0,2.8,0,2,2.428571429,-0.428571429,0,0,0,2.133333333,3.042857143,-0.90952381,0,0,0,0,0,0,0,1,4,36.75,1,5.5,3.77,20.92,4.69,0.150.15,11.54,12,0,130,0
SF,RB,Kyle Juszczyk,74,235,00-0029892,12,7,130,,,,,,,,0,,0,,,,,0,0,1,1,0,6,0,1,0,10,-2,0,0,0,0,0,0,0,2.84,-5.03,0,-0.02,0,26,26,39,,,0,SF,ATL,30,1.5,outdoors,grass,74,5,2,0,0.025641026,4,0,1.8,1,2.666666667,2.142857143,0.523809524,0,0,0,2.9,4.1,-1.2,0,0.142857143,-0.142857143,-2,0,0,0,1,10,14.25,0,1.5,4.44,22.38,4.54,0.620.31,17.38,12,0,130,0
SF,RB,Kyle Juszczyk,74,235,00-0029892,12,8,130,,,,,,,,0,,0,,,,,0,0,2,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,-7,0,0,0,0,32,32,10,,,0,HOU,SF,41,2.5,closed,astroturf,,,2,0,0,6,0,1.4,0,1.666666667,2.142857143,-0.476190476,0,0,0,1.7,3.557142857,-1.857142857,0,0.142857143,-0.142857143,0,0,0,0,0.5,2,21.75,1,2.5,4.24,20.38,5.77,0.540.23,15.46,12,0,130,0
LV,RB,Raheem Mostert,70,197,00-0031687,10,7,,,,,,,,,0,,0,,,,,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,-3.09,0,0,0,0,18,18,11,KC,9,0.26,KC,LV,31,13.5,outdoors,grass,57,9,1,0.26,0,3,0,1.2,-4,4.333333333,4.5,-0.166666667,0.313333333,0.2725,0.040833333,1,2.825,-1.825,0,0,0,0,0,0,0,1,2,22.25,1,13.5,4.12,23.85,4.54,1.080.08,18.08,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,11,,,,,,,,,0,,0,,,,,0,0,2,2,0,-9,0,2,0,7,6,0,0,0,0,0,0,0,-2.94,-3.11,0,-0.03,-0.01,42,42,12,DAL,15,0.25,LV,DAL,49,-3.5,dome,grass,,,4,0.25,0.166666667,8,0,3.3,2,2.333333333,3.571428571,-1.238095238,0.156666667,0.222857143,-0.066190476,2.733333333,2.785714286,-0.052380952,0,0,0,3,0,0,0,1,3.5,26.25,1,3.5,4.72,19.77,5.38,0.850.23,19.15,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,4,,,,,,,,,0,,0,,,,,0,0,1,4,0,2,0,1,0,11,62,0,0,0,0,0,0,0,3.68,42.79,0,0,-0.04,21,21,31,CHI,8,0.15,LV,CHI,49,1.5,dome,grass,,,5,0.15,0.129032258,7,0,8.3,0,5,5,0,0.15,0.15,0,8.3,8.3,0,0,0,0,15.5,0,0,0,1,11,23.75,0,1.5,4.93,20.92,3.92,0.620.23,16.62,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,6,,,,,,,,,0,,0,,,,,0,0,0,5,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,-22.48,0,0,-0.16,23,23,32,TEN,13,0.21,LV,TEN,30,3.5,dome,grass,,,5,0.21,0.15625,5,0,-0.4,-2,5.666666667,5.666666667,0,0.276666667,0.276666667,0,3.366666667,3.366666667,0,0,0,0,-0.8,0,0,0,0,0,13.25,0,3.5,4.49,21.77,3.46,1.080.15,18.08,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,14,,,,,,,,,0,,0,,,,,0,,0,0,,,,0,0,0,0,0,0,0,,0,0,,,,,,,,,,DEN,15,0.3,LV,DEN,41,-8.5,dome,grass,,,0,0.3,,0,0,0,-1,1.666666667,1.857142857,-0.19047619,0.176666667,0.18,-0.003333333,1.866666667,2.142857143,-0.276190476,0,0,0,0,0,0,0,0,0,24.75,1,8.5,3.81,19.38,2.77,0.540.23,13.46,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,9,,,,,,,,,0,,0,,,,,0,0,1,0,0,-3,0,1,0,14,0,0,0,0,0,0,0,0,8.36,0,0,-0.01,0,39,39,19,JAX,6,0.09,LV,JAX,59,-2.5,dome,grass,,,1,0.09,0,3,0,2.4,0,2.333333333,3.8,-1.466666667,0.186666667,0.236,-0.049333333,1.066666667,2.74,-1.673333333,0,0,0,0,0,0,0,1,14,30.75,1,2.5,3.74,17.31,4.62,0.380.23,12.38,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,10,,,,,,,,,0,,0,,,,,0,0,1,1,0,-4,0,1,0,11,4,0,0,0,0,0,0,0,6.61,-2.01,0,-0.01,0,27,27,25,DEN,8,0.13,DEN,LV,17,9.5,outdoors,grass,60,10,2,0.13,0.04,4,0,2.5,1,1.333333333,3.5,-2.166666667,0.16,0.218333333,-0.058333333,2.033333333,2.7,-0.666666667,0,0,0,4,0,0,0,1,11,13.25,1,9.5,4.12,23.85,4.54,1.080.08,18.08,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,12,,,,,,,,,0,,0,,,,,0,0,3,1,0,-1,0,3,0,18,2,0,0,0,0,0,0,0,4.1,-4.74,0,-0.02,0,44,44,21,CLE,15,0.19,LV,CLE,34,3,dome,grass,,,4,0.19,0.047619048,10,0,5,0,3.333333333,3.428571429,-0.095238095,0.19,0.228571429,-0.038571429,3.6,2.314285714,1.285714286,0,0,0,2,0,0,0,1,6,15.5,0,3,3.92,22.69,4.31,0.540.15,15.15,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,13,,,,,,,,,0,,0,,,,,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.14,0,0,0,23,23,18,LAC,2,0.04,LAC,LV,45,10,dome,matrixturf,,,1,0.04,0.055555556,1,0,0.6,-3,3,2.571428571,0.428571429,0.16,0.167142857,-0.007142857,2.966666667,2.085714286,0.880952381,0,0,0,6,0,0,0,0,0,27.5,1,10,4.12,23.85,4.54,1.080.08,18.08,10,0,275,1
LV,RB,Raheem Mostert,70,197,00-0031687,10,5,,,,,,,,,0,,0,,,,,0,0,0,7,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,-11,0,0,-0.08,36,36,25,IND,32,0.47,IND,LV,46,7,closed,fieldturf,,,7,0.47,0.28,7,0,2.2,2,6,6,0,0.31,0.31,0,5.25,5.25,0,0,0,0,3.142857143,0,0,0,0,0,26.5,1,7,4.12,23.85,4.54,1.080.08,18.08,10,0,275,1
