team,position,full_name,height,weight,gsis_id,years_exp,week,draft_number,avg_time_to_throw,avg_intended_air_yards,aggressiveness,avg_air_yards_to_sticks,completion_percentage_above_expectation,max_air_distance,efficiency,percent_attempts_gte_eight_defenders,rush_yards,rush_yards_over_expected_per_att,avg_cushion,avg_separation,percent_share_of_intended_air_yards,catch_percentage,avg_yac_above_expectation,pass_attempt,rec_attempt,rush_attempt,pass_air_yards,rec_air_yards,pass_completions,receptions,pass_yards_gained,rec_yards_gained,rush_yards_gained,pass_touchdown,rec_touchdown,rush_touchdown,pass_interception,rec_fumble_lost,rush_fumble_lost,pass_yards_gained_diff,rec_yards_gained_diff,rush_yards_gained_diff,pass_touchdown_diff,rec_touchdown_diff,rush_touchdown_diff,pass_attempt_team,rec_attempt_team,rush_attempt_team,opponent,offense_snaps,offense_pct,team_home,team_away,total,spread_line,roof,surface,temp,wind,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,fantasy_points,rush_attempts,rush_ypa,rush_share,delta_targets,targets_3wk_avg,targets_7wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_7wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_7wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_7wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_7wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,racr,team_implied_points,is_favored,abs_spread,def_wr_ftps,def_wr_targets,def_wr_yards_per_target,years_exp_filled,is_rookie,is_second_year,draft_number_filled,is_undrafted
MIN,WR,Adam Thielen,74.0,200.0,00-0030035,12,11,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,17.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.26,0.0,0.0,-0.01,0.0,32.0,32.0,22.0,CHI,8.0,0.15,MIN,CHI,36.0,3.0,dome,sportturf,,,2.0,17.0,0.15,0.0625,,0.0,1.6,0.0,0.0,0.0,-1.0,1.6666666666666667,1.5714285714285714,0.09523809523809534,9.333333333333334,6.857142857142857,2.476190476190477,0.11666666666666665,0.15571428571428572,-0.03904761904761907,1.7333333333333334,1.4714285714285715,0.26190476190476186,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.8,0.35294117647058826,16.5,0,3.0,24.69,17.00,8.95470588235294,12,0,0,275.0,1
PIT,WR,Adam Thielen,74.0,200.0,00-0030035,12,15,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,PIT,MIA,,3.0,outdoors,grass,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.1428571428571428,-0.8095238095238095,1.0,4.0,-3.0,0.18333333333333332,0.16285714285714287,0.020476190476190453,0.0,0.742857142857143,-0.742857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,3.0,16.38,15.38,7.3920676202860855,12,0,0,275.0,1
MIN,WR,Adam Thielen,74.0,200.0,00-0030035,12,7,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7300000000000004,0.0,0.0,0.0,0.0,42.0,42.0,23.0,PHI,8.0,0.12,MIN,PHI,50.0,-2.5,dome,sportturf,,,2.0,12.0,0.12,0.047619047619047616,,0.0,2.0,0.0,0.0,0.0,2.0,1.3333333333333333,1.6666666666666667,-0.3333333333333335,7.666666666666667,19.5,-11.833333333333332,0.16666666666666666,0.4383333333333333,-0.2716666666666666,1.7,1.6166666666666665,0.08333333333333348,0.0,0.0,0.0,0.0,5.0,0.0,0.5,1.0,0.8333333333333334,26.25,1,2.5,16.77,20.54,7.16066212268744,12,0,0,275.0,1
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,11,76.0,,8.763333333333334,,,,,,,,,9.948333333333332,3.3568463608262404,26.016823354774864,66.66666666666666,-0.4506485242944178,0.0,6.0,0.0,0.0,49.0,0.0,4.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.399999999999999,0.0,0.0,-0.05,0.0,26.0,26.0,16.0,JAX,36.0,0.75,JAX,LAC,41.0,-3.0,outdoors,grass,74.0,9.0,6.0,49.0,0.75,0.23076923076923078,26.016823354774864,0.0,9.3,0.0,0.0,0.0,1.0,5.333333333333333,7.285714285714286,-1.9523809523809526,49.333333333333336,65.28571428571429,-15.952380952380956,0.5433333333333333,0.5228571428571429,0.020476190476190426,6.4333333333333345,11.014285714285716,-4.5809523809523816,0.0,0.14285714285714285,-0.14285714285714285,0.0,8.833333333333334,0.0,0.6666666666666666,1.55,1.0816326530612246,19.0,0,3.0,13.77,17.54,6.815279361459522,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,14,76.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,PHI,42.0,0.57,LAC,PHI,41.0,-1.5,dome,matrixturf,,,0.0,0.0,0.57,0.0,,0.0,0.0,0.0,0.0,0.0,-5.0,3.6666666666666665,5.714285714285714,-2.047619047619048,34.0,55.142857142857146,-21.142857142857146,0.64,0.5271428571428571,0.11285714285714288,5.4333333333333345,9.514285714285714,-4.08095238095238,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,21.25,1,1.5,16.77,20.54,7.16066212268744,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,7,76.0,,9.117857142857142,,,,,,,,,6.042142857142856,2.4764468971568028,26.53901328509948,78.57142857142857,0.6877279723050185,0.0,14.0,0.0,0.0,129.0,0.0,11.0,0.0,119.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.480000000000004,0.0,0.0,0.020000000000000018,0.0,55.0,55.0,16.0,IND,49.0,0.64,LAC,IND,62.0,2.5,dome,matrixturf,,,14.0,129.0,0.64,0.2545454545454545,26.53901328509948,1.0,31.9,0.0,0.0,0.0,7.0,10.0,9.285714285714286,0.7142857142857135,84.33333333333333,76.28571428571429,8.047619047619037,0.5933333333333334,0.6257142857142857,-0.03238095238095229,16.466666666666665,16.357142857142858,0.10952380952380736,0.3333333333333333,0.5714285714285714,-0.23809523809523808,0.0,8.5,0.09090909090909091,0.7857142857142857,2.2785714285714285,0.9224806201550387,29.75,0,2.5,22.15,21.46,7.792637465051257,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,10,76.0,,4.946000000000001,,,,,,,,,4.640000000000001,2.0194118784889223,15.3554796647004,40.0,1.8686528810532401,0.0,5.0,0.0,0.0,27.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.340000000000003,0.0,0.0,-0.06,0.0,33.0,33.0,31.0,PIT,37.0,0.51,LAC,PIT,35.0,3.0,dome,matrixturf,,,5.0,27.0,0.51,0.15151515151515152,15.3554796647004,0.0,3.9000000000000004,0.0,0.0,0.0,0.0,5.0,7.428571428571429,-2.428571428571429,51.666666666666664,62.57142857142857,-10.904761904761905,0.37666666666666665,0.5271428571428571,-0.15047619047619049,6.133333333333334,10.928571428571429,-4.795238095238095,0.0,0.14285714285714285,-0.14285714285714285,0.0,3.8,0.0,0.4,0.78,0.7037037037037037,16.0,0,3.0,21.54,21.92,7.748631386861313,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,5,76.0,,7.1511111111111125,,,,,,,,,6.508750000000001,3.592061374942525,44.4475138121547,55.55555555555556,1.4957607054563882,0.0,9.0,0.0,0.0,58.0,0.0,5.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28999999999999915,0.0,0.0,-0.99,0.0,33.0,33.0,27.0,WAS,39.0,0.58,LAC,WAS,37.0,2.5,dome,matrixturf,,,9.0,58.0,0.58,0.2727272727272727,44.4475138121547,0.0,10.8,0.0,0.0,0.0,2.0,9.0,8.8,0.1999999999999993,65.33333333333333,67.8,-2.4666666666666686,0.67,0.636,0.03400000000000003,13.0,15.180000000000001,-2.1800000000000015,0.3333333333333333,0.6,-0.26666666666666666,0.0,6.444444444444445,0.0,0.5555555555555556,1.2000000000000002,1.0,17.25,0,2.5,22.31,17.23,9.460243760882182,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,9,76.0,,14.976000000000003,,,,,,,,,7.514,2.4905994274352232,25.196850393700792,40.0,3.9712079928626522,0.0,5.0,0.0,0.0,72.0,0.0,2.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6400000000000006,0.0,0.0,-0.04,0.0,29.0,29.0,30.0,TEN,24.0,0.37,TEN,LAC,47.0,-10.0,outdoors,grass,46.0,5.0,5.0,72.0,0.37,0.1724137931034483,25.196850393700792,0.0,6.1000000000000005,0.0,0.0,0.0,0.0,8.0,8.285714285714286,-0.2857142857142865,85.66666666666667,74.14285714285714,11.523809523809533,0.42,0.5471428571428572,-0.12714285714285717,15.466666666666667,13.157142857142857,2.30952380952381,0.3333333333333333,0.2857142857142857,0.047619047619047616,0.0,8.2,0.0,0.4,1.2200000000000002,0.5694444444444444,18.5,0,10.0,13.77,17.54,6.815279361459522,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,4,76.0,,4.6885714285714295,,,,,,,,,5.740000000000001,1.532598926957266,13.300372831901445,71.42857142857143,-0.36638467003091435,0.0,7.0,0.0,0.0,30.0,0.0,5.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.450000000000003,0.0,0.0,-0.03,0.0,41.0,41.0,13.0,NYG,49.0,0.78,NYG,LAC,39.0,-6.0,outdoors,fieldturf,81.0,4.0,7.0,30.0,0.78,0.17073170731707318,13.300372831901445,0.0,8.7,0.0,0.0,0.0,-4.0,8.333333333333334,8.75,-0.4166666666666661,64.0,70.25,-6.25,0.66,0.65,0.010000000000000009,15.100000000000001,16.275,-1.1749999999999972,0.6666666666666666,0.75,-0.08333333333333337,0.0,5.285714285714286,0.0,0.7142857142857143,1.2428571428571427,1.2333333333333334,16.5,0,6.0,13.77,17.54,6.815279361459522,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,6,76.0,,10.267142857142858,,,,,,,,,4.515714285714286,1.9289899592492443,31.94790184921764,57.14285714285714,-0.19392682646419868,0.0,7.0,0.0,0.0,66.0,0.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.240000000000002,0.0,0.0,-0.51,0.0,38.0,38.0,25.0,MIA,36.0,0.56,MIA,LAC,56.0,-3.5,outdoors,grass,85.0,4.0,7.0,66.0,0.56,0.18421052631578946,31.94790184921764,0.0,6.7,0.0,0.0,0.0,-2.0,7.666666666666667,8.5,-0.833333333333333,51.333333333333336,67.5,-16.166666666666664,0.64,0.6233333333333334,0.016666666666666607,8.733333333333333,13.766666666666667,-5.033333333333335,0.0,0.5,-0.5,0.0,3.857142857142857,0.0,0.5714285714285714,0.9571428571428572,0.4090909090909091,26.25,0,3.5,13.77,17.54,6.815279361459522,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,2,76.0,,9.81142857142857,,,,,,,,,5.381666666666667,3.5882471430657334,27.243157477191595,71.42857142857143,1.9060100389858983,0.0,7.0,0.0,0.0,54.0,0.0,5.0,0.0,61.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6700000000000017,0.0,0.0,0.45999999999999996,0.0,27.0,27.0,26.0,LV,32.0,0.55,LV,LAC,29.0,-3.5,dome,grass,,,7.0,54.0,0.55,0.25925925925925924,27.243157477191595,1.0,17.1,0.0,0.0,0.0,-3.0,8.5,8.5,0.0,71.5,71.5,0.0,0.585,0.585,0.0,18.450000000000003,18.450000000000003,0.0,1.0,1.0,0.0,0.0,8.714285714285714,0.2,0.7142857142857143,2.442857142857143,1.1296296296296295,12.75,0,3.5,13.77,17.54,6.815279361459522,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,13,76.0,,10.780000000000005,,,,,,,,,4.9319999999999995,1.754899533774768,27.31603486722077,80.0,-0.7793410457334433,0.0,5.0,0.0,0.0,53.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.899999999999999,0.0,0.0,-0.38,0.0,21.0,21.0,43.0,LV,40.0,0.6,LAC,LV,45.0,10.0,dome,matrixturf,,,5.0,53.0,0.6,0.23809523809523808,27.31603486722077,0.0,7.0,0.0,0.0,0.0,-1.0,5.333333333333333,6.714285714285714,-1.3809523809523814,43.0,64.57142857142857,-21.57142857142857,0.62,0.5257142857142857,0.0942857142857143,6.733333333333334,10.471428571428572,-3.7380952380952372,0.0,0.14285714285714285,-0.14285714285714285,0.0,6.0,0.0,0.8,1.4,0.5660377358490566,17.5,0,10.0,21.77,19.38,7.974200206398349,12,0,0,76.0,0
LAC,WR,Keenan Allen,74.0,211.0,00-0030279,12,8,76.0,,10.608,,,,,,,,,4.564,2.1018263368541064,25.13386722266976,80.0,0.17942790254301322,0.0,5.0,0.0,0.0,56.0,0.0,4.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.759999999999998,0.0,0.0,-0.15,0.0,25.0,25.0,43.0,MIN,18.0,0.25,LAC,MIN,47.0,3.0,dome,matrixturf,,,5.0,56.0,0.25,0.2,25.13386722266976,0.0,8.4,0.0,0.0,0.0,-9.0,8.666666666666666,8.571428571428571,0.0952380952380949,83.66666666666667,71.57142857142857,12.095238095238102,0.4833333333333334,0.5728571428571428,-0.08952380952380945,15.666666666666664,14.72857142857143,0.9380952380952348,0.3333333333333333,0.42857142857142855,-0.09523809523809523,0.0,8.8,0.0,0.8,1.6800000000000002,0.7857142857142857,22.0,0,3.0,14.38,14.15,8.387985865724382,12,0,0,76.0,0
