team_abbrev,season,def_wr_ftps,def_wr_targets,def_wr_yards_per_target
DAL,2025,27.8,17.571428571428573,9.589430894308943
DET,2025,26.4,20.5,8.390243902439025
NYG,2025,23.9,19.357142857142858,8.457564575645756
TEN,2025,23.8,17.428571428571427,9.520491803278688
CHI,2025,23.8,16.428571428571427,8.969565217391304
ATL,2025,23.3,18.357142857142858,8.194552529182879
IND,2025,23.2,21.571428571428573,7.970198675496689
WAS,2025,23.0,17.642857142857142,9.02834008097166
LV,2025,22.6,18.428571428571427,8.251937984496124
LA,2025,22.1,20.785714285714285,7.742268041237113
BAL,2025,21.6,21.071428571428573,7.450847457627119
PIT,2025,21.3,20.785714285714285,7.711340206185567
GB,2025,20.6,17.5,7.959183673469388
NE,2025,20.1,15.571428571428571,7.853211009174312
ARI,2025,19.8,17.857142857142858,8.052
JAX,2025,19.8,21.285714285714285,6.651006711409396
SF,2025,19.8,18.142857142857142,8.114173228346457
TB,2025,19.5,19.785714285714285,7.602888086642599
BUF,2025,18.6,16.285714285714285,7.728070175438597
CLE,2025,18.6,14.285714285714286,7.86
NO,2025,18.4,15.214285714285714,7.985915492957746
NYJ,2025,18.3,16.285714285714285,8.140350877192983
CAR,2025,18.1,16.5,8.103896103896103
MIA,2025,17.7,14.714285714285714,7.567961165048544
KC,2025,17.5,17.428571428571427,7.569672131147541
CIN,2025,17.0,14.357142857142858,8.238805970149254
PHI,2025,16.7,19.428571428571427,7.025735294117647
MIN,2025,16.1,14.857142857142858,8.471153846153847
HOU,2025,15.9,17.785714285714285,6.947791164658635
SEA,2025,15.8,18.285714285714285,5.7265625
DEN,2025,15.7,20.142857142857142,6.691489361702128
LAC,2025,15.1,17.642857142857142,6.82995951417004
MIN,2024,25.2,23.647058823529413,7.748756218905473
CLE,2024,24.3,17.0,9.076124567474048
JAX,2024,24.0,19.235294117647058,9.08868501529052
ATL,2024,23.7,19.352941176470587,7.866261398176292
BAL,2024,23.5,20.88235294117647,7.9633802816901404
DAL,2024,23.3,18.941176470588236,8.347826086956522
NO,2024,23.3,21.235294117647058,7.82825484764543
HOU,2024,22.9,19.647058823529413,7.691616766467066
DET,2024,22.8,23.823529411764707,7.770370370370371
TB,2024,22.6,20.647058823529413,7.5754985754985755
CAR,2024,22.4,18.176470588235293,8.145631067961165
LA,2024,22.3,17.352941176470587,8.186440677966102
SEA,2024,21.7,19.235294117647058,7.409785932721713
IND,2024,21.6,17.294117647058822,8.731292517006803
LAC,2024,21.5,17.529411764705884,8.409395973154362
NYG,2024,21.5,17.705882352941178,8.461794019933555
KC,2024,21.0,18.764705882352942,7.394984326018808
PIT,2024,20.8,19.0,8.157894736842104
WAS,2024,20.7,18.705882352941178,7.632075471698113
BUF,2024,20.6,17.58823529411765,8.424749163879598
NE,2024,20.5,18.823529411764707,7.79375
LV,2024,20.3,18.11764705882353,7.837662337662338
CIN,2024,20.3,18.352941176470587,7.596153846153846
SF,2024,20.2,17.41176470588235,7.287162162162162
ARI,2024,20.1,18.058823529411764,8.296416938110749
NYJ,2024,19.6,17.58823529411765,7.936454849498328
PHI,2024,19.5,19.352941176470587,6.693009118541034
DEN,2024,19.4,19.88235294117647,7.77810650887574
MIA,2024,19.0,17.470588235294116,7.774410774410774
GB,2024,18.9,17.470588235294116,7.754208754208754
CHI,2024,18.8,15.823529411764707,8.925650557620818
TEN,2024,18.7,17.0,7.532871972318339
WAS,2023,29.6,19.823529411764707,9.397626112759644
PHI,2023,29.4,23.941176470588236,7.678132678132678
DET,2023,26.5,21.0,8.630252100840336
LAC,2023,25.9,19.41176470588235,8.866666666666667
NYG,2023,24.4,21.764705882352942,7.881081081081081
MIN,2023,24.1,21.705882352941178,8.168021680216802
CIN,2023,24.0,18.0,9.581699346405228
LA,2023,23.7,21.470588235294116,7.810958904109589
TEN,2023,23.1,21.176470588235293,8.302777777777777
TB,2023,23.0,20.294117647058822,8.820289855072463
MIA,2023,22.4,19.58823529411765,8.003003003003004
JAX,2023,22.4,20.11764705882353,7.798245614035087
SEA,2023,21.9,19.823529411764707,8.020771513353116
PIT,2023,20.9,19.176470588235293,8.515337423312884
SF,2023,20.9,21.0,6.9943977591036415
ARI,2023,20.9,17.0,8.768166089965398
CHI,2023,20.8,19.0,7.489164086687307
LV,2023,20.5,17.58823529411765,8.274247491638796
DEN,2023,20.4,17.470588235294116,8.811447811447811
IND,2023,20.3,18.176470588235293,8.184466019417476
HOU,2023,20.3,17.41176470588235,9.202702702702704
NE,2023,20.3,19.529411764705884,7.557228915662651
GB,2023,20.2,17.235294117647058,8.358361774744028
NO,2023,19.2,18.823529411764707,7.6125
ATL,2023,18.8,17.41176470588235,7.297297297297297
BUF,2023,18.5,17.352941176470587,7.430508474576271
DAL,2023,18.2,18.0,7.454248366013072
BAL,2023,17.9,22.58823529411765,6.1953125
CLE,2023,17.7,18.705882352941178,6.528301886792453
CAR,2023,17.0,15.823529411764707,7.669144981412639
KC,2023,16.7,19.0,6.560371517027864
NYJ,2023,12.6,14.882352941176471,6.762845849802371
