team_abbrev,season,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed
CIN,2025,5.383928571428571,24.0,4.857142857142857,1.2857142857142858,25.8
NYJ,2025,4.304843304843305,25.071428571428573,3.5,1.6428571428571428,23.9
NYG,2025,5.887755102040816,21.0,4.857142857142857,1.2142857142857142,22.9
BUF,2025,5.32013201320132,21.642857142857142,3.857142857142857,1.4285714285714286,22.4
ARI,2025,4.8,22.857142857142858,4.214285714285714,1.2857142857142858,21.9
WAS,2025,4.522123893805309,24.214285714285715,3.7142857142857144,1.1428571428571428,21.5
LV,2025,4.048710601719198,24.928571428571427,4.357142857142857,1.1428571428571428,20.0
DAL,2025,4.560714285714286,20.0,5.214285714285714,1.0714285714285714,20.0
TEN,2025,4.3471337579617835,22.428571428571427,3.357142857142857,1.2142857142857142,19.7
CAR,2025,4.8108108108108105,21.142857142857142,4.714285714285714,1.0714285714285714,19.5
TB,2025,4.310344827586207,18.642857142857142,4.785714285714286,1.0,19.3
PHI,2025,4.348242811501597,22.357142857142858,3.7857142857142856,1.0,19.2
NO,2025,4.184281842818428,26.357142857142858,3.142857142857143,1.0,19.2
ATL,2025,4.465189873417722,22.571428571428573,4.357142857142857,0.9285714285714286,18.6
BAL,2025,4.227118644067796,21.071428571428573,5.357142857142857,0.9285714285714286,18.4
MIN,2025,4.026881720430108,26.571428571428573,3.357142857142857,0.8571428571428571,17.6
MIA,2025,4.685534591194968,22.714285714285715,4.857142857142857,0.5,17.5
SF,2025,4.46643109540636,20.214285714285715,5.571428571428571,0.7857142857142857,17.0
CLE,2025,3.9722222222222223,23.142857142857142,4.071428571428571,0.7857142857142857,16.7
CHI,2025,4.792982456140351,20.357142857142858,4.0,0.7857142857142857,16.6
LAC,2025,4.53932584269663,19.071428571428573,3.642857142857143,0.8571428571428571,16.3
IND,2025,3.812925170068027,21.0,4.0,0.9285714285714286,15.8
